song_id,title,artist,genre,bpm,duration_sec
song_1,Moon,Kanye West,Hip-Hop,90,213
song_2,87 Stingray,Tory Lanez,Hip-Hop,140,203
song_3,@Meh,Playboi Carti,Hip-Hop,145,128
song_4,Ice Cream,Mavo,Afrobeats,107,196
song_5,Lo Siento BB:/,Tainy,Latin,95,231
song_6,I Know Who I Be,Davido,Afrobeats,102,189
song_7,Billie Jean,Michael Jackson,Pop,117,294
song_8,How Far,NO 11,Afrobeats,100,205
song_9,family ties,Baby Keem w/ Kendrick Lamar,Hip-Hop,145,252
song_10,Me & U,Tems,Afrobeats,120,161
song_11,Wake up,Lil Tecca,Hip-Hop,150,164
song_12,Fireworks,Katy Perry,Pop,124,228
song_13,Escort,Chase Atlantic,Alt/Pop,140,176
song_14,The Beach,The Neighborhood,Alt/Pop,90,239
song_15,Breaking Dishes,Rihanna,Pop,140,255
